구분,광역,기초,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
(직접)총배출량,인천,광역,50999.06748,55845.23995,58379.55088,58152.65914,60942.9901,61807.86308,60390.65691,58372.36896,59098.51633,56849.12886,53225.08611,53304.25759,48886.28457,45105.60043
(직접)순배출량,인천,광역,50593.78751,55516.62094,58242.32604,57963.7408,60710.51577,61538.24718,60069.82144,58140.68405,58906.62869,56625.10686,52911.77321,52965.62418,48559.65104,44857.90461
(직접)에너지,인천,광역,45613.20335,50999.97204,53936.10242,54077.54174,56090.82,56478.87436,54797.54833,52568.7122,53341.52762,51245.00266,47595.38659,47683.54054,43713.31685,39570.29876
A. 연료연소,인천,광역,45549.17421,50933.82095,53867.99185,54007.81744,56027.67429,56411.53893,54727.7678,52494.53528,53263.45795,51171.18004,47526.28461,47609.1532,43637.18211,39493.8845
1.  에너지산업,인천,광역,35544.70863,41159.05798,43968.83572,44110.54058,46679.97799,47186.0529,45278.21749,43220.19773,43563.31798,41418.08868,37990.92667,37812.14959,33985.38674,30032.05382
2.  제조업 및 건설업,인천,광역,2326.250891,2152.120427,2181.527009,2055.361354,2115.188256,1878.205758,1899.173345,1780.654422,1913.353004,1950.103947,2024.945534,2112.740837,2018.840191,2008.670212
3.  수송,인천,광역,4820.357948,4763.222089,4935.840307,5115.058165,4758.827364,4956.386386,5118.128524,5051.068097,5087.090289,5358.989597,4997.829649,5140.842278,5168.164396,5196.527956
4.  기타,인천,광역,2759.505412,2802.386911,2741.105719,2671.730728,2402.788312,2335.13814,2382.516569,2379.203173,2628.201705,2297.418189,2245.814695,2275.80634,2292.359311,2157.31098
5.  미분류,인천,광역,98.35133336,57.03353838,40.68308981,55.1266119,70.89237334,55.75574089,49.73187425,63.41185171,71.49497947,146.5796327,266.7680625,267.6141493,172.4314694,99.32153542
B. 탈루,인천,광역,64.02913605,66.15108994,68.11056807,69.72430599,63.14570531,67.33543573,69.78053329,74.1769206,78.06967081,73.82261822,69.10198027,74.38734071,76.13474133,76.41425896
1.  고체연료,인천,광역,,,,,,,,,,,,,,
"2.  석유 및 천연가스, 에너지 생산으로부터의 기타배출",인천,광역,64.02913605,66.15108994,68.11056807,69.72430599,63.14570531,67.33543573,69.78053329,74.1769206,78.06967081,73.82261822,69.10198027,74.38734071,76.13474133,76.41425896
(직접)산업공정 및 제품 생산,인천,광역,1465.498034,1142.799459,1302.839166,1154.555253,1471.319505,1813.861973,1909.023944,2174.994178,2251.442821,2204.799432,2191.369308,2143.431759,1681.687797,2117.69947
A.  광물산업,인천,광역,100.9796814,96.62317152,99.11282071,81.00208404,95.15506855,118.5045408,115.7305317,103.8121804,87.21789876,76.75101994,60.48146495,61.77546081,50.63148398,45.88310909
B.  화학산업,인천,광역,996.3521885,819.8112617,980.8794836,806.3949385,1131.870866,1467.291849,1538.70316,1760.465845,1854.880576,1756.094331,1840.2704,1828.680887,1384.998025,1786.763132
C.  금속산업,인천,광역,48.49488634,76.94686025,66.49845658,89.90212603,68.2025062,88.29216888,79.6371984,67.0530607,62.54746334,44.83233416,26.34061644,32.77090166,34.14504645,25.24483246
D.  비에너지 연료 및 용매 사용,인천,광역,105.1384395,3.44774645,3.407954923,21.51294663,3.209007995,2.424824936,6.068008757,86.11763106,113.3271449,123.4971682,94.73163158,21.67010806,58.03584147,88.01649503
E.  전자 산업,인천,광역,,,,,,,0.84383618,0.967316734,0.73311818,0.26080909,1.041072539,4.047716723,2.577152723,4.368156386
F.  오존층파괴물질의 대체물질 사용,인천,광역,,,,,,,,,,,,,,
G.  기타 제품제조 및 소비,인천,광역,214.532838,145.9704189,152.9404502,155.7431578,172.8820562,137.34859,168.0412089,156.5781449,132.7366205,203.36377,168.5041231,194.4866849,151.300247,167.4237453
(직접)농업,인천,광역,235.1524472,224.3380435,231.763786,229.8465325,227.3460628,217.2351958,214.7428454,215.0598489,210.877234,200.253416,185.1821755,189.7351699,193.9104911,191.5489731
A.  장내발효,인천,광역,33.62048309,35.83201716,41.79183786,42.55082112,45.04180762,41.70772691,41.16960164,40.917422,41.7231149,41.32711439,40.18980843,40.73433636,40.23589311,38.44285994
B.  가축분뇨처리,인천,광역,25.04205517,20.10462098,26.24291934,27.8801194,27.31960867,26.30656693,26.72259765,29.87422807,29.14479142,25.49343264,16.58185459,17.39006237,22.47012222,22.56012543
C.  벼재배,인천,광역,151.9897819,145.3309764,139.3292529,134.3023774,129.6161443,124.8477323,122.9989922,120.615241,116.7225518,110.8304263,106.9364438,108.5516191,107.7543838,107.6282941
D.  농경지토양,인천,광역,22.78856136,21.16640616,22.44497415,23.25521172,23.53931894,22.68952136,22.21208666,22.13977815,21.77239693,21.12612307,20.00325835,21.38245889,22.09419426,21.60603488
